from,to
2E7A2B,7A0B8E
86C8AB,51E97D
4C31B6,097893
644CFC,3048B5
C94E4A,254759
B8390F,4D1100
D2092D,73BAE2
CF572A,862D2D
F44E2A,B0EB1C
49E38C,2BD2F9
5DF9E1,25A8BA
BF1369,E54F58
C15FE3,B0EB1C
9CD828,1677E3
6B20B7,AA5440
EAF257,269B12
78ED78,FBB564
B0EB1C,BE1E27
71BECA,8DB030
DAC29B,1D7208
0A5E3D,C9C42A
2BD2F9,78ED78
86DEAF,4C8115
508520,9697AF
78ED78,B8390F
03C173,16E7CD
23BBF8,8F476A
FE04AB,A2D673
8C6C72,8F73D5
582251,C9C42A
509333,515DBB
2655FA,DF6477
CFE627,A3362E
830E97,9CDFFF
86DEAF,C398B9
A38DC8,49905F
79E0AC,C9C42A
86C8AB,2A7FBF
3028DF,0AE029
E8F3BF,28D4C6
C887F9,8DEFE0
830E97,8210BD
3B5F26,70804F
86C8AB,25229F
DA4788,2C17CC
705811,8F41AD
4CABD7,2C8F44
985842,D3E88B
D6F62C,E47CB2
F19EE0,CD60C5
920A54,011C89
9AC562,C4AB3C
830E97,78ED78
5AE8FA,E47CB2
4D1100,1E3801
6B20B7,59D91C
4F8125,D2092D
38BDBC,526CD0
78A51A,0A5E3D
DF6477,2BD2F9
9DED68,C9F342
71BECA,7F2D82
DAC29B,3A7FEE
8DB030,63C191
03C173,4C8115
211577,643534
EAF257,853198
7CDFA1,4CABD7
D8A675,649D27
CF572A,1AE5E3
FE04AB,BC5888
4FCCAD,739659
C9C469,84D5CC
011C89,2D60FB
38BDBC,2C8F44
920A54,979C02
2C8F44,7CDFA1
705811,0712D2
746E5C,1487F0
011C89,62E94E
25A8BA,E5A956
86C8AB,2909B3
73BAE2,011C89
011C89,920A54
3B5F26,EA87F4
03C173,415839
8E1919,86DEAF
D6F62C,EB65DC
E60811,D00B3F
A3362E,73BAE2
D6F62C,8A2800
AF742F,EEF444
2C8F44,E60811
B0EB1C,347041
71BECA,8C6C72
8F41AD,3AFD3F
644CFC,C4AB3C
920A54,0AE029
FE04AB,787CA2
C887F9,DA3CEA
A62C7D,F7471D
649D27,3F02B9
C84C89,F19EE0
920A54,EB99E8
FAC175,26823C
1E3801,62E94E
8C6C72,011C89
40E068,C887F9
E60811,04FEF5
B858CF,D5B0EC
B0EB1C,4BB370
582251,438789
5AE8FA,9451CD
90702B,787CA2
011C89,73BAE2
8C6C72,0712D2
7F2D82,0A5E3D
7F2D82,3836FA
8C6C72,AA1F3B
127A1A,0712D2
211577,A345FD
D58C2E,8221E6
5AE8FA,C1B8EE
9CDFFF,D5B0EC
D2092D,389330
9CDFFF,FBB564
9CD828,DAAFA3
211577,920A54
71BECA,9278E1
AF742F,B8390F
B858CF,920A54
78A51A,E5A600
49E38C,920A54
522742,C4AB3C
6CEB19,F7471D
4F8125,78C210
CF572A,F19EE0
3F02B9,B858CF
C9C42A,78ED78
A38DC8,9CD87E
FE04AB,BF897D
F66120,C7E1EB
0712D2,2909EE
985842,787CA2
71BECA,E97CEF
E60D69,DAAFA3
E3CE85,4CAEA3
78A51A,2BD2F9
462333,FE3CF9
9D1B99,EE1ABB
979C02,920A54
03C173,78ED78
86DEAF,D8A675
E60811,1E3801
2655FA,920A54
9CD828,B0EB1C
F66120,5B5B0A
415839,03C173
7F2D82,AA5440
A765DA,25A8BA
1F260B,A755EA
830E97,347041
D5B0EC,B8390F
4C8115,FE3CF9
211577,D03F6B
78A51A,E60811
9D1B99,28D4C6
8C6C72,5BB534
40E068,DA3CEA
DAAFA3,86DEAF
462333,4C20C8
45B7B9,59D91C
78ED78,0756B6
70E548,45AA1E
3BBC3F,4B9FD1
4CABD7,CFE627
1E3801,F66120
C398B9,63C191
2909EE,920A54
7CDFA1,1FC937
6D7E66,F0FDDA
28D4C6,011C89
45B7B9,A94178
D2092D,2C70B4
8221E6,B232B8
03C173,9CD828
6DC800,B0EB1C
16E7CD,E28336
4C31B6,80C81A
1FC937,BE1E27
522742,AA5440
705811,5F150C
4CABD7,F58538
4E53E3,1B7C7F
B8390F,E49EAF
07E7F1,6E4579
4C31B6,523D0E
28D4C6,8D991A
A3362E,830E97
D00B3F,BBC3AC
D6F62C,0712D2
2E7A2B,28D4C6
CF572A,BFD067
DEC368,449BC9
705811,2C8F44
0DF7B6,63C191
03C173,9459A8
9D1B99,C9C42A
76CE79,DC9DAC
D8A675,3F02B9
16E7CD,1FAA7B
4CABD7,B8390F
B858CF,4335E4
16E7CD,47768E
029C32,86DEAF
9459A8,07E7F1
DF6477,B0EB1C
4E53E3,88D35D
23BBF8,2805F7
3836FA,1FC937
86C8AB,59A315
D5B0EC,5F150C
A9479D,920A54
649D27,E60811
E49EAF,830E97
D5B0EC,CED2DC
3B5F26,C887F9
1FC937,6261FC
BE44ED,D3E88B
6D7E66,D8A675
B0EB1C,1AE5E3
CC26CC,833507
2E7A2B,A55F80
1644FB,0712D2
D2092D,2605C8
920A54,8F17EE
3BBC3F,AF22AB
705811,3F02B9
78A51A,8C6C72
686975,90E46C
1E3801,CF572A
A6F33F,9BE90C
D2092D,28D4C6
8F41AD,7D76DC
4FCCAD,571AE6
A0F191,03F1E3
5AE8FA,1FC937
4D1100,E73844
BF95CF,AA5440
415839,E60811
3F02B9,73BAE2
582251,76BE07
86C8AB,E0BAB8
DA4788,4335E4
F66120,2BD2F9
508520,ED1847
F19EE0,B0EB1C
211577,4E53E3
C398B9,9BE90C
C54209,3836FA
0DF7B6,0712D2
A2D673,0AE029
F5660C,E57A61
8DB030,51CEAE
71BECA,D3BEFE
03C173,FE04AB
95C026,7F2D82
C9C42A,D5B0EC
F19EE0,2605C8
78ED78,7F2D82
CC26CC,3922A5
5AE8FA,406BA1
AF742F,920A54
A2D673,46B653
38BDBC,0D10F1
C84C89,4DE87A
28D4C6,739659
415839,4335E4
2C8F44,920A54
86DEAF,269B12
211577,8B33C9
86C8AB,C4E83D
4F8125,2BD2F9
D2092D,F19EE0
FE04AB,D7C75D
375D0D,FAC175
7CDFA1,03F1E3
78A51A,D5B0EC
415839,5DF9E1
86C8AB,0EFBCA
3836FA,DC9DAC
FAA897,B116E4
1FC937,E8E3D2
90702B,E3826D
25A8BA,DA4788
F19EE0,2F5469
830E97,011C89
96542A,DC9DAC
28D4C6,2605C8
8221E6,011C89
CF572A,9C160E
920A54,4CABD7
AF742F,9867E5
127A1A,72D8BE
1E3801,2BD2F9
16E7CD,1FC937
86C8AB,0F9504
AB366E,80C81A
8F41AD,2FA9EB
FAC175,C9C42A
86DEAF,B0EB1C
BE44ED,920A54
D5B0EC,E73844
705811,B73A13
920A54,2909EE
BE44ED,32CDD6
EAF257,C9EA0A
3B5F26,8F41AD
25229F,AD00AF
7CDFA1,2C8F44
C398B9,C2F594
AF742F,DC9DAC
2BD2F9,0712D2
51CEAE,C9C42A
D5B0EC,8E778C
DA4788,B600C6
F19EE0,CF572A
E49EAF,D7C75D
CFE627,F242B4
9D1B99,2A7FBF
CF572A,B0EB1C
CF572A,2D60CD
2655FA,D00B3F
A2D673,BE44ED
D2092D,4335E4
78A51A,406BA1
5AE8FA,CC6A08
3B5F26,EC5593
7F2D82,8A2800
71BECA,AA5440
86C8AB,7D76DC
F5660C,199C86
644CFC,E79AE8
F5660C,E8D9AA
508520,B3D976
4C8115,462333
71BECA,68615D
2BD2F9,2655FA
03C173,C07CCD
26823C,62E94E
DAAFA3,FE3CF9
2BD2F9,B8390F
8E1919,63C191
79E0AC,B0EB1C
EB99E8,E5A956
985842,46D5FD
F86DC1,03F1E3
A38DC8,B636BD
300B58,097893
649D27,78ED78
0712D2,E49EAF
920A54,6A8C5C
F19EE0,A51151
86C8AB,38BCB5
B858CF,DC9DAC
705811,2BD2F9
D6F62C,CBFEC2
644CFC,F44E2A
0A5E3D,78ED78
9CD828,A9D1E9
4FCCAD,389330
1E3801,6A5276
86C8AB,639FB4
415839,E5A956
375D0D,2BD2F9
1644FB,63C191
582251,78ED78
6DC800,71BECA
D58C2E,809EF1
03C173,9519E5
746E5C,6261FC
705811,DC9DAC
BE44ED,E3826D
4FCCAD,DEA21E
A3362E,A2D673
300B58,B0EB1C
B858CF,A3362E
FAA897,55FAAE
705811,7F2D82
A2D673,7D069B
322388,B73A13
979C02,8F17EE
A765DA,F58538
979C02,64A61B
E60811,4CABD7
C54209,2BD2F9
78A51A,CA4666
D00B3F,2655FA
9459A8,4D837B
9CDFFF,1FC937
CFE627,FBB564
49E38C,C7C45C
23BBF8,76BE07
B858CF,EAE884
F5660C,0A5E3D
7CDFA1,5603DE
0A5E3D,E60811
07E7F1,D5020B
C84C89,EE1ABB
9459A8,6E4579
DA4788,70804F
300B58,4C20C8
582251,E5A600
DA4788,D954F4
D2092D,7F2D82
03C173,D15825
522742,D2092D
25229F,3922A5
E49EAF,A0F191
F19EE0,FBB564
830E97,1AE5E3
16E7CD,DAAFA3
3BBC3F,B858CF
EAF257,347041
86C8AB,23BBF8
96542A,E60811
461A1E,268FAA
16E7CD,64A61B
DAAFA3,6261FC
0A5E3D,A3362E
DEC368,B8390F
D6F62C,BC5888
86C8AB,F852E2
8221E6,2BD2F9
CF572A,96542A
7CDFA1,1E3801
28D4C6,AD00AF
0A5E3D,2C8F44
582251,011C89
7F2D82,2598BB
F19EE0,E60811
DAAFA3,3B6AD2
E49EAF,4C8115
746E5C,90D224
BE44ED,783DA2
38BDBC,D05243
D3BEFE,45B7B9
9CD828,9ADB07
D2092D,78A51A
BE44ED,6EEE18
CF572A,2605C8
0DF7B6,F58538
300B58,80C81A
40E068,FE3CF9
B0EB1C,BF897D
CF572A,AEB16E
7CDFA1,90D224
C398B9,CBFEC2
78ED78,A0F191
8C6C72,B0EB1C
DEC368,E57A61
B0EB1C,2BD2F9
B0EB1C,853198
7CDFA1,14E197
0DF7B6,9867E5
7CDFA1,68615D
F5660C,65551A
F5660C,CC6A08
B0EB1C,E6209B
8AEBB1,2BD2F9
16E7CD,3048B5
45B7B9,923C73
582251,4E53E3
B858CF,DD79F1
9CD828,9CDFFF
9459A8,5603DE
2909EE,E73844
920A54,6261FC
78A51A,BD1B36
58EFE4,47107D
3B5F26,E5A600
38BDBC,A67413
CF572A,BDB828
45B7B9,DF0DA2
029C32,D789CE
6A8C5C,B858CF
78ED78,2FA9EB
45B7B9,72D882
45B7B9,23BBF8
B0EB1C,2D60CD
B0EB1C,2FA9EB
2C8F44,D2092D
16E7CD,53426B
8F41AD,8AEBB1
C398B9,787CA2
2909EE,E5A600
E6209B,E60811
1E3801,6261FC
C36232,A60EFC
011C89,B8390F
705811,E73844
C887F9,D12BBC
4C31B6,EAEB5C
2A33A7,1FC937
E3CE85,8A390E
705811,78ED78
0DF7B6,D8A675
746E5C,BB6934
415839,0A5E3D
86C8AB,BF897D
D2092D,0D9B02
211577,DAD695
A3362E,D00B3F
71BECA,9867E5
BE44ED,6CEB19
FAA897,5EB96E
029C32,F58538
8E1919,9278E1
26823C,19E680
7CDFA1,78ED78
3836FA,AF742F
5AE8FA,03F1E3
9CDFFF,B0EB1C
C9C469,5FB459
A0F191,7CDFA1
DA4788,C9C42A
71BECA,3836FA
78ED78,E73844
F66120,B0EB1C
3B5F26,03C0D1
3B5F26,D6F62C
38BDBC,36EF43
746E5C,853198
FBB564,78ED78
979C02,FD65CD
8F41AD,A60EFC
8C6C72,73BAE2
8DB030,EB41DB
96542A,CF572A
649D27,4CABD7
5AE8FA,C9C42A
644CFC,1677E3
16E7CD,12E505
C9C469,979C02
78ED78,B0EB1C
8DB030,80C81A
76CE79,B8390F
BE44ED,6261FC
5AE8FA,C7E1EB
CF572A,03C173
0712D2,C9C42A
DAAFA3,300B58
8C6C72,2605C8
6A9872,A60EFC
FAA897,211577
CF572A,DAD695
509333,24F8D3
CFE627,DAAFA3
4E9161,1F7117
96542A,7CDFA1
E6209B,462333
B858CF,A2D673
FE04AB,4452BD
C9C42A,FE04AB
78A51A,4CABD7
45B7B9,F04C1B
78A51A,011C89
461A1E,32B771
8AE5D3,6261FC
5DF9E1,1FC937
78A51A,7FBB8F
7F2D82,6140DB
C398B9,16E7CD
8AEBB1,5B5B0A
BAF9B7,2BD2F9
DEC368,127A1A
76CE79,2BD2F9
8AEBB1,3C7F36
3836FA,7CDFA1
78ED78,1AE5E3
C887F9,0712D2
28D4C6,A51151
9D1B99,8221E6
78A51A,87BD24
0A5E3D,1AE5E3
7F2D82,F19EE0
D58C2E,D8D716
03C173,CF572A
9459A8,E8E3D2
F44E2A,79E0AC
2C8F44,7F2D82
8C6C72,B8390F
C9C469,523D0E
E6209B,B8390F
8C6C72,9CD828
C9C469,673C2D
DA4788,B858CF
28D4C6,64A61B
9CD828,2D60CD
28D4C6,9AC562
509333,011C89
73BAE2,0A5E3D
6A8C5C,73BAE2
45B7B9,4C84DA
C9C469,DE7BDC
C398B9,2BD2F9
D58C2E,38BCB5
79E0AC,16E7CD
644CFC,D7B016
FE04AB,E19C02
3836FA,2F5469
0D10F1,2909EE
16E7CD,CE6088
EBB6E8,3A1345
8DB030,E60811
9CDFFF,2BD2F9
A80E3E,94121A
FBB564,F19EE0
AE6747,E60811
705811,921DFF
96542A,81BBDA
300B58,1FB1FA
8DB030,F19EE0
705811,B858CF
BF1369,920A54
582251,AA5440
9AC562,84111F
28D4C6,4335E4
73BAE2,F19EE0
9D1B99,DEA21E
A3362E,0712D2
73BAE2,B47223
25229F,FE4FC9
EB99E8,347041
4C8115,4CABD7
9CD828,830E97
2655FA,2BD2F9
461A1E,2909EE
9459A8,E60811
B0EB1C,9CDFFF
4C8115,E60811
8AEBB1,47F249
86C8AB,669848
1772D6,7F2D82
508520,D90D58
9DED68,FB0C87
375D0D,029C32
C887F9,03C0D1
4C31B6,EAF257
B0EB1C,CF572A
2C8F44,14E197
7CDFA1,19E680
7CDFA1,B0EB1C
746E5C,DC9DAC
96542A,B8390F
23BBF8,73B424
4FCCAD,1FAA7B
F44E2A,F5660C
4E53E3,2605C8
3B5F26,BCF196
4E53E3,DEA225
28D4C6,81BBDA
8221E6,7C2870
F5660C,E8E3D2
FE04AB,D790C2
8DB030,78C210
E8F3BF,F19EE0
7CDFA1,D5B0EC
1E3801,AD00AF
011C89,B0EB1C
D12BBC,B8390F
A38DC8,71BECA
8C6C72,639FB4
6A9872,8F41AD
6CEB19,DAAFA3
73BAE2,E97CEF
BF1369,4C31B6
3B5F26,347041
830E97,1FC937
C887F9,A3362E
D12BBC,72D8BE
DB2FB2,081054
03C173,081054
86C8AB,CAEE71
F23FC2,7D1F8E
2E7A2B,F19EE0
71BECA,E60811
D5B0EC,8C6C72
0D10F1,0AE029
8AE5D3,CBFEC2
C398B9,DC9DAC
25229F,C74813
F67EF8,920A54
45B7B9,F1FD80
71BECA,9CDFFF
DEC368,EA87F4
90702B,B0EB1C
415839,C8E6CE
F5660C,2D60CD
9AC562,F8B855
F58538,FDD16D
C887F9,70804F
78A51A,38C931
B8390F,DF6477
45B7B9,8F476A
51CEAE,A3362E
6DC800,4CABD7
1E3801,E8E3D2
78A51A,2C8F44
BF01A5,44A87C
C887F9,841486
509333,CAD6BF
6CEB19,78C210
A765DA,FDD16D
71BECA,2605C8
73BAE2,FFFA25
F19EE0,64A61B
C54209,7EE4EF
C9C42A,73BAE2
127A1A,F081E4
4FCCAD,7C71D7
73BAE2,59D91C
BF1369,B600C6
45B7B9,F79996
211577,B8390F
3B5F26,A60EFC
58D4C9,A2FE3D
45B7B9,22FBA0
38BDBC,B0EB1C
979C02,6CEB19
45B7B9,4CAEA3
127A1A,84111F
BE44ED,F8B855
C9C469,14103B
4F8125,65551A
461A1E,BBC3AC
644CFC,406BA1
07E7F1,AD00AF
FE04AB,E0B135
E8F3BF,809EF1
E3CE85,B22E02
300B58,4D837B
509333,56651E
0712D2,8C6C72
B858CF,352FD3
1E3801,87BD24
920A54,D6F62C
73BAE2,8C6C72
B0EB1C,89E43F
03C173,25A8BA
FE04AB,A2FE3D
A62C7D,AF742F
830E97,FE04AB
DAC29B,9F3CC4
B0EB1C,7AA963
011C89,8C6C72
C94E4A,C0FFF0
1E3801,B0EB1C
4D1100,BCF196
16E7CD,5603DE
8DB030,FE04AB
8221E6,673C2D
03C173,0B3DD6
8F41AD,E73844
38BDBC,FE04AB
8DB030,347041
8C6C72,C4AB3C
4FCCAD,6A5276
211577,4335E4
A3362E,8C6C72
D12BBC,3048B5
4D837B,CF572A
9CD828,7AA963
8AEBB1,68615D
28D4C6,FBB564
746E5C,6E8BC6
07E7F1,9459A8
6D7E66,CFE627
DA4788,BCE4E2
28D4C6,389330
8C6C72,0D6E59
6B20B7,F19EE0
0712D2,B8390F
2C8F44,73BAE2
3B5F26,E47CB2
FE04AB,462333
4CABD7,4D837B
0A5E3D,0712D2
4D1100,A2D673
644CFC,E57A61
DF6477,011C89
78A51A,935F2B
38BDBC,E3826D
96542A,7F2D82
96542A,E97CEF
AF742F,1E3801
985842,4335E4
E6209B,4CABD7
78A51A,ED7A44
38BDBC,A5BD6B
86C8AB,011C89
C9C469,2655FA
AF742F,639FB4
7CDFA1,D45949
0A5E3D,B47223
A77089,EB99E8
90702B,9278E1
A765DA,029C32
6D7E66,E49EAF
7CDFA1,0756B6
1FC937,B0EB1C
4F8125,5603DE
D2092D,AD00AF
7F2D82,59D91C
9459A8,BF897D
A3362E,2909EE
DA4788,4D1100
4FCCAD,9459A8
4E53E3,2CDD67
90702B,C0FFF0
26823C,2BD2F9
AF742F,7E9A2A
A38DC8,6B938A
5DF9E1,E5A956
25229F,9DA14C
5AE8FA,643534
C2835A,CFE627
7F2D82,78ED78
677172,16E7CD
C398B9,A3362E
705811,4CABD7
78ED78,E60811
0A5E3D,035288
D12BBC,59D91C
1E3801,4335E4
3836FA,582251
A2D673,0D10F1
BE44ED,5995DD
1E3801,199C86
830E97,DF6477
D5C787,8F41AD
985842,BCF196
E3CE85,D5B0EC
78A51A,DA3CEA
FE3CF9,0A5E3D
CFE627,4CABD7
FBB564,3836FA
5E302B,28D4C6
5AE8FA,67D977
508520,F19EE0
3F02B9,BCF196
0A5E3D,2BD2F9
90702B,2FA9EB
2909EE,3B5F26
FE3CF9,985842
6A8C5C,4D1100
17B8C2,4CABD7
2C8F44,0A5E3D
A0F191,C9C42A
A0F191,E49EAF
1E3801,C1E387
F67EF8,462333
DAC29B,92C1D9
4C31B6,3048B5
F5660C,E60811
BF95CF,C0BAE4
51CEAE,DC9DAC
5AE8FA,79978F
D5B0EC,84D5CC
211577,64A61B
2C8F44,FDD16D
461A1E,FDD16D
4CABD7,FDD16D
59988D,127A1A
96542A,1FC937
644CFC,1B2020
78ED78,7CDFA1
FBB564,9CDFFF
DAC29B,A3362E
F58538,643534
985842,3F02B9
C9C469,1FC937
8221E6,FBB564
4C8115,7CDFA1
